fecha,nombre,ambito
2026-01-01,Año Nuevo,nacional
2026-04-02,Jueves Santo,nacional
2026-04-03,Viernes Santo,nacional
2026-04-04,Sábado Santo,nacional
2026-05-01,Día del Trabajo,nacional
2026-06-30,Día del Ejército,nacional
2026-08-15,Día de la Asunción (feriado municipal de Guatemala),municipal_guatemala
2026-09-15,Día de la Independencia,nacional
2026-10-20,Día de la Revolución,nacional
2026-11-01,Día de Todos los Santos,nacional
2026-12-24,Nochebuena (medio día),nacional
2026-12-25,Navidad,nacional
2026-12-31,Fin de año (medio día),nacional
