valor_origen,zona_id,operadores_que_lo_usan
Zona 1,GT-Z01,TM/MR/AM/CDC
Z1,GT-Z01,TU
ZONA 1,GT-Z01,TU
Zona 01,GT-Z01,otros
Z01,GT-Z01,otros
Zona 2,GT-Z02,TM/MR/AM/CDC
Z2,GT-Z02,TU
ZONA 2,GT-Z02,TU
Zona 02,GT-Z02,otros
Z02,GT-Z02,otros
Zona 3,GT-Z03,TM/MR/AM/CDC
Z3,GT-Z03,TU
ZONA 3,GT-Z03,TU
Zona 03,GT-Z03,otros
Z03,GT-Z03,otros
Zona 4,GT-Z04,TM/MR/AM/CDC
Z4,GT-Z04,TU
ZONA 4,GT-Z04,TU
Zona 04,GT-Z04,otros
Z04,GT-Z04,otros
Zona 5,GT-Z05,TM/MR/AM/CDC
Z5,GT-Z05,TU
ZONA 5,GT-Z05,TU
Zona 05,GT-Z05,otros
Z05,GT-Z05,otros
Zona 6,GT-Z06,TM/MR/AM/CDC
Z6,GT-Z06,TU
ZONA 6,GT-Z06,TU
Zona 06,GT-Z06,otros
Z06,GT-Z06,otros
Zona 7,GT-Z07,TM/MR/AM/CDC
Z7,GT-Z07,TU
ZONA 7,GT-Z07,TU
Zona 07,GT-Z07,otros
Z07,GT-Z07,otros
Zona 8,GT-Z08,TM/MR/AM/CDC
Z8,GT-Z08,TU
ZONA 8,GT-Z08,TU
Zona 08,GT-Z08,otros
Z08,GT-Z08,otros
Zona 9,GT-Z09,TM/MR/AM/CDC
Z9,GT-Z09,TU
ZONA 9,GT-Z09,TU
Zona 09,GT-Z09,otros
Z09,GT-Z09,otros
Zona 10,GT-Z10,otros
Z10,GT-Z10,otros
ZONA 10,GT-Z10,TU
Zona 11,GT-Z11,otros
Z11,GT-Z11,otros
ZONA 11,GT-Z11,TU
Zona 12,GT-Z12,otros
Z12,GT-Z12,otros
ZONA 12,GT-Z12,TU
Zona 13,GT-Z13,otros
Z13,GT-Z13,otros
ZONA 13,GT-Z13,TU
Zona 14,GT-Z14,otros
Z14,GT-Z14,otros
ZONA 14,GT-Z14,TU
Zona 15,GT-Z15,otros
Z15,GT-Z15,otros
ZONA 15,GT-Z15,TU
Zona 16,GT-Z16,otros
Z16,GT-Z16,otros
ZONA 16,GT-Z16,TU
Zona 17,GT-Z17,otros
Z17,GT-Z17,otros
ZONA 17,GT-Z17,TU
Zona 18,GT-Z18,otros
Z18,GT-Z18,otros
ZONA 18,GT-Z18,TU
Zona 19,GT-Z19,otros
Z19,GT-Z19,otros
ZONA 19,GT-Z19,TU
Zona 21,GT-Z21,otros
Z21,GT-Z21,otros
ZONA 21,GT-Z21,TU
Zona 24,GT-Z24,otros
Z24,GT-Z24,otros
ZONA 24,GT-Z24,TU
Zona 25,GT-Z25,otros
Z25,GT-Z25,otros
ZONA 25,GT-Z25,TU
Mixco,GT-MIXCO,TM/AM/CDC
MIXCO,GT-MIXCO,TU
Villa Nueva,GT-VILLA-NUEVA,TM/AM/CDC
VILLA NUEVA,GT-VILLA-NUEVA,TU
San Miguel Petapa,GT-SAN-MIGUEL-PETAPA,TM/AM/CDC
SAN MIGUEL PETAPA,GT-SAN-MIGUEL-PETAPA,TU
Santa Catarina Pinula,GT-SANTA-CATARINA-PINULA,TM/AM/CDC
SANTA CATARINA PINULA,GT-SANTA-CATARINA-PINULA,TU
